Sample,Target,Num.of.Replicates,Cq.Mean,Cq.SD,Result.Quality.Issues
sample1_1_N,IL6,3,25.3008457,0.072676213,NA
sample1_1_SC,IL6,3,24.2304862,0.048781813,NA
sample1_2_N,IL6,3,26.19892108,0.095015539,NA
sample1_2_SC,IL6,3,24.71754651,0.245184116,NA
sample1_3_N,IL6,3,26.67306288,0.148824323,NA
sample1_3_SC,IL6,3,24.62150535,0.110833154,NA
sample1_4_SC,IL6,3,27.77183532,0.216552341,NA
sample2_1_N,IL6,3,26.76898879,0.204109037,NA
sample2_1_SC,IL6,3,24.84037253,0.245151141,NA
sample2_2_N,IL6,3,26.54404617,0.041039821,NA
sample2_2_SC,IL6,3,25.255852,0.161337527,NA
sample2_3_N,IL6,3,25.93692397,0.057070933,NA
sample2_4_N,IL6,3,26.00661489,0.056043549,NA
sample2_3_SC,IL6,3,25.10182885,0.136575066,NA
sample2_4_SC,IL6,3,24.70865587,0.066392742,NA
sample3_1_N,IL6,3,25.35948561,0.126872312,NA
sample3_1_SC,IL6,3,24.5526331,0.103615577,NA
sample3_2_N,IL6,3,25.8822381,0.071887687,NA
sample3_2_SC,IL6,3,25.2707878,0.197695318,NA
sample3_3_N,IL6,3,25.74087228,0.166460809,NA
sample3_3_SC,IL6,3,24.88693122,0.065530143,NA
sample3_4_SC,IL6,3,25.36114584,0.095837343,NA
sample1_1_N,TP53,3,25.35304383,0.108799237,NA
sample1_1_SC,TP53,3,25.66034734,0.033085253,NA
sample1_2_N,TP53,3,25.87425125,0.09891405,NA
sample1_2_SC,TP53,3,25.88976415,0.096773085,NA
sample1_3_N,TP53,3,26.67948228,0.165014335,NA
sample1_3_SC,TP53,3,25.36900472,0.029088493,NA
sample1_4_SC,TP53,3,29.60832822,0.021192187,NA
sample1_5_SC,TP53,3,25.91354976,0.044914855,NA
sample2_1_N,TP53,3,26.53250258,0.070081476,NA
sample2_1_SC,TP53,3,25.79796936,0.062068536,NA
sample2_2_N,TP53,3,25.66017761,0.129411621,NA
sample2_2_SC,TP53,3,25.96789755,0.043330914,NA
